category 1,feature 1,category 2,feature 2,population share
a,a1,b,b1,0.10835113170878903
a,a1,b,b2,0.12993160726389064
a,a1,b,b3,0.11473654329864941
a,a1,b,b4,0.1374440606329305
a,a1,d,d1,0.08737943027788322
a,a1,d,d2,0.18948657516390074
a,a1,d,d3,0.2135973374624756
a,a1,e,e1,0.11702057972743697
a,a1,e,e2,0.20986816568808545
a,a1,e,e3,0.12026627807212535
a,a1,e,e4,0.03215049489076693
a,a1,e,e5,0.011157824525844885
a,a1,f,f1,0.4399410552059059
a,a1,f,f2,0.050522287698353686
a,a2,b,b1,0.10820261825076695
a,a2,b,b2,0.11875502565364081
a,a2,b,b3,0.13047608403700042
a,a2,b,b4,0.15210292915433224
a,a2,d,d1,0.09222551157972347
a,a2,d,d2,0.18618453242678062
a,a2,d,d3,0.23112661308923632
a,a2,e,e1,0.13046392355514705
a,a2,e,e2,0.24623638907540768
a,a2,e,e3,0.1000982329440913
a,a2,e,e5,0.0056913195327112885
a,a2,f,f1,0.4571008843721162
a,a2,f,f2,0.05243577272362424
a,a3,b,b1,0.0
a,a3,b,b2,0.0
a,a3,b,b3,0.0
a,a3,d,d2,0.0
a,a3,d,d3,0.0
a,a3,e,e1,0.0
a,a3,e,e2,0.0
a,a3,e,e5,0.0
a,a3,f,f1,0.0
a,a3,f,f2,0.0
c,c1,a,a1,0.019949737017662655
c,c1,a,a2,0.021690256475559666
c,c1,b,b1,0.0077160067917674685
c,c1,b,b2,0.013777439547253464
c,c1,b,b3,0.009978330255139644
c,c1,b,b4,0.01016821689906174
c,c1,d,d1,0.011748068650982034
c,c1,d,d2,0.016109788208135044
c,c1,d,d3,0.013782136634105241
c,c1,e,e1,0.0062247759884621655
c,c1,e,e2,0.0226074563554899
c,c1,e,e3,0.007129665539198099
c,c1,f,f1,0.038621167653932593
c,c1,f,f2,0.003018825839289727
c,c10,a,a1,0.022059341541415478
c,c10,a,a2,0.02648322866932008
c,c10,a,a3,0.0
c,c10,b,b1,0.012099609484186676
c,c10,b,b2,0.01039385983027326
c,c10,b,b3,0.010167493049909753
c,c10,b,b4,0.01588160784636587
c,c10,d,d1,0.008503177300070072
c,c10,d,d2,0.015919315780333263
c,c10,d,d3,0.02412007713033222
c,c10,e,e1,0.016387916109484733
c,c10,e,e2,0.020734541808148346
c,c10,e,e5,0.0008945678040696281
c,c10,f,f1,0.04630886291405502
c,c10,f,f2,0.002233707296680542
c,c11,a,a1,0.04135201134085745
c,c11,a,a2,0.04410891900516103
c,c11,b,b1,0.009832658784798085
c,c11,b,b2,0.017185019119816427
c,c11,b,b3,0.01993372163309228
c,c11,b,b4,0.03850953080831168
c,c11,d,d1,0.017046287085287524
c,c11,d,d2,0.03144053288590502
c,c11,d,d3,0.036974110374825925
c,c11,e,e1,0.02030867060021145
c,c11,e,e2,0.038037230551165854
c,c11,e,e3,0.023765930246929565
c,c11,e,e4,0.002836879561546445
c,c11,e,e5,0.0005122193861651613
c,c11,f,f1,0.08010462575238904
c,c11,f,f2,0.005356304593629439
c,c12,a,a1,0.01288428970579083
c,c12,a,a2,0.015633585982336752
c,c12,b,b1,0.005419231048043928
c,c12,b,b2,0.006772707962286596
c,c12,b,b3,0.009074198278947874
c,c12,b,b4,0.007251738398849186
c,c12,d,d1,0.006038154660699147
c,c12,d,d2,0.011611142873027783
c,c12,d,d3,0.010868578154400652
c,c12,e,e1,0.005337365962508503
c,c12,e,e2,0.01356984506200781
c,c12,e,e3,0.005689297661164029
c,c12,e,e5,0.0
c,c12,f,f1,0.02795682266657795
c,c12,f,f2,0.0005610530215496369
c,c2,a,a1,0.05516412615502014
c,c2,a,a2,0.056366281395706645
c,c2,a,a3,0.0
c,c2,b,b1,0.018629900184689494
c,c2,b,b2,0.030251666073124857
c,c2,b,b3,0.029629287961068604
c,c2,b,b4,0.03301955333184383
c,c2,d,d1,0.024835557397941938
c,c2,d,d2,0.03583293260686765
c,c2,d,d3,0.0508619175459172
c,c2,e,e1,0.02500527949897148
c,c2,e,e2,0.05322005014186142
c,c2,e,e3,0.02414784419326147
c,c2,e,e4,0.006108575897795389
c,c2,e,e5,0.0030486578188370227
c,c2,f,f1,0.10388809923454598
c,c2,f,f2,0.007642308316180813
c,c3,a,a1,0.05037240646060946
c,c3,a,a2,0.03364032515521221
c,c3,a,a3,0.0
c,c3,b,b1,0.023344566880263498
c,c3,b,b2,0.024963801536818413
c,c3,b,b3,0.016003367265588396
c,c3,b,b4,0.019700995933151364
c,c3,d,d1,0.0187904069002313
c,c3,d,d2,0.034175044520923716
c,c3,d,d3,0.03104728019466666
c,c3,e,e1,0.021167471924567218
c,c3,e,e2,0.03756322926565608
c,c3,e,e3,0.02050448868968973
c,c3,f,f1,0.07188224843643905
c,c3,f,f2,0.01213048317938262
c,c4,a,a1,0.03691747888018779
c,c4,a,a2,0.03654137333783572
c,c4,b,b1,0.01763409056114493
c,c4,b,b2,0.016001887244519463
c,c4,b,b3,0.02086836792021774
c,c4,b,b4,0.018954506492141376
c,c4,d,d1,0.012244722116675849
c,c4,d,d2,0.03331941943031406
c,c4,d,d3,0.027894710671033607
c,c4,e,e1,0.018219473569969755
c,c4,e,e2,0.027667480137245678
c,c4,e,e3,0.023316552954944215
c,c4,e,e5,0.0006158408094664498
c,c4,f,f1,0.0647250068253843
c,c4,f,f2,0.008733845392639213
c,c5,a,a1,0.03726550546207199
c,c5,a,a2,0.045205336881467016
c,c5,b,b1,0.020649552058794124
c,c5,b,b2,0.01914452010499602
c,c5,b,b3,0.025590800931517787
c,c5,b,b4,0.017085969248231074
c,c5,d,d1,0.01331322768021199
c,c5,d,d2,0.039789447421333224
c,c5,d,d3,0.02936816724199379
c,c5,e,e1,0.020871662005819493
c,c5,e,e2,0.03519494383053186
c,c5,e,e3,0.018461418068457972
c,c5,f,f1,0.073482957177139
c,c5,f,f2,0.00898788516640001
c,c6,a,a1,0.04766442201281523
c,c6,a,a2,0.04643845243737243
c,c6,a,a3,0.0
c,c6,b,b1,0.026413002335067888
c,c6,b,b2,0.022194405892791244
c,c6,b,b3,0.020162134753055595
c,c6,b,b4,0.025333331469272934
c,c6,d,d1,0.01774045969999306
c,c6,d,d2,0.043789065858480074
c,c6,d,d3,0.03257334889171453
c,c6,e,e1,0.01900437587421646
c,c6,e,e2,0.04629291817514209
c,c6,e,e3,0.01884979611582375
c,c6,e,e5,0.0016127951482515668
c,c6,f,f1,0.08524344814930616
c,c6,f,f2,0.008859426300881495
c,c7,a,a1,0.06732988121659074
c,c7,a,a2,0.06021925774447839
c,c7,a,a3,0.0
c,c7,b,b1,0.03460105343568374
c,c7,b,b2,0.0369947488654548
c,c7,b,b3,0.025274665619705317
c,c7,b,b4,0.03067867104022527
c,c7,d,d1,0.01891620775600581
c,c7,d,d2,0.037158350400025186
c,c7,d,d3,0.07147458080503813
c,c7,e,e1,0.04158604202957548
c,c7,e,e2,0.05897647174406209
c,c7,e,e3,0.019266526869735737
c,c7,e,e5,0.0016805860385294595
c,c7,f,f1,0.09861413979899379
c,c7,f,f2,0.028934999162075332
c,c8,a,a1,0.0576886749687388
c,c8,a,a2,0.07962517720823807
c,c8,a,a3,0.0
c,c8,b,b1,0.023576252750310136
c,c8,b,b2,0.03567098863480226
c,c8,b,b3,0.03713087489653992
c,c8,b,b4,0.04093573589532455
c,c8,d,d1,0.017701528581584747
c,c8,d,d2,0.04567941514004146
c,c8,d,d3,0.07393290845535067
c,c8,e,e1,0.033580438645932666
c,c8,e,e2,0.0674194301122024
c,c8,e,e3,0.027457937761246044
c,c8,e,e4,0.006547026521165621
c,c8,e,e5,0.002309019136430141
c,c8,f,f1,0.12355946338980801
c,c8,f,f2,0.013754388787168852
c,c9,a,a1,0.04181546814249901
c,c9,a,a2,0.043584462803052434
c,c9,b,b1,0.01663782564480602
c,c9,b,b2,0.015335588105394638
c,c9,b,b3,0.021399384770866912
c,c9,b,b4,0.032027132424483865
c,c9,d,d1,0.01272714402792323
c,c9,d,d2,0.030846652465294888
c,c9,d,d3,0.04182613445233332
c,c9,e,e1,0.019791031072864614
c,c9,e,e2,0.03482095757997958
c,c9,e,e3,0.02421344668897206
c,c9,e,e5,0.0028802937726476003
c,c9,f,f1,0.08265509757945119
c,c9,f,f2,0.002744833366100248
d,d1,b,b1,0.021899196267322518
d,d1,b,b2,0.027560640931263192
d,d1,b,b3,0.03048770719418596
d,d1,b,b4,0.09965739746483504
d,d1,e,e1,0.03949328810814597
d,d1,e,e2,0.07086737969609569
d,d1,e,e3,0.04280219184304788
d,d1,e,e4,0.02212769382544424
d,d1,e,e5,0.004314388384872924
d,d2,b,b1,0.11642269346583665
d,d2,b,b2,0.08913408934022028
d,d2,b,b3,0.091551635650979
d,d2,b,b4,0.07856268913364545
d,d2,e,e1,0.07697652498261708
d,d2,e,e2,0.18603016610149598
d,d2,e,e3,0.087802125314413
d,d2,e,e4,0.017781571732290193
d,d2,e,e5,0.007080719459865133
d,d3,b,b1,0.07823186022639682
d,d3,b,b2,0.131991902646048
d,d3,b,b3,0.12317328449048487
d,d3,b,b4,0.11132690318878226
d,d3,e,e1,0.13101469019182096
d,d3,e,e2,0.19920700896590146
d,d3,e,e3,0.08976019385875578
d,d3,e,e5,0.005454036213818116
e,e1,b,b1,0.06865320822245045
e,e1,b,b2,0.06961694061872394
e,e1,b,b3,0.05232960949045143
e,e1,b,b4,0.05688474495095819
e,e2,b,b1,0.09198833643455816
e,e2,b,b2,0.11468930306336717
e,e2,b,b3,0.11666954764270836
e,e2,b,b4,0.13275736762285942
e,e3,b,b1,0.044015888570612546
e,e3,b,b2,0.047960454777858104
e,e3,b,b3,0.05764906881260561
e,e3,b,b4,0.07073909885514039
e,e4,b,b3,0.012921900920819303
e,e4,b,b4,0.022826718065351272
e,e5,b,b1,0.0022405832090650582
e,e5,b,b2,0.0026270000874725396
e,e5,b,b3,0.005642500469065113
e,e5,b,b4,0.0063390602929534615
f,f1,b,b1,0.1832288023857646
f,f1,b,b2,0.21054267499652646
f,f1,b,b3,0.22606743086822545
f,f1,b,b4,0.2772030313275055
f,f1,d,d1,0.16375913314099932
f,f1,d,d2,0.34714150768451885
f,f1,d,d3,0.38614129875250386
f,f1,e,e1,0.214309013758321
f,f1,e,e2,0.4161321808773485
f,f1,e,e3,0.2028326864573551
f,f1,e,e4,0.04912254415913372
f,f1,e,e5,0.014645514325863718
f,f2,b,b1,0.03332494757379137
f,f2,b,b2,0.03814395792100498
f,f2,b,b3,0.01914519646742437
f,f2,b,b4,0.012343958459757208
f,f2,d,d1,0.015845808716607367
f,f2,d,d2,0.02852959990616252
f,f2,d,d3,0.058582651799208046
f,f2,e,e1,0.03317548952426299
f,f2,e,e2,0.039972373886144615
f,f2,e,e3,0.017531824558861545
f,f2,e,e4,0.010074742720016329
f,f2,e,e5,0.002203629732692454
g,g1,a,a1,0.369568560231415
g,g1,a,a2,0.37968339446333554
g,g1,a,a3,0.0
g,g1,b,b1,0.19153345828175333
g,g1,b,b2,0.1956284579099086
g,g1,b,b3,0.17078422894063533
g,g1,b,b4,0.1913058095624533
g,g1,c,c1,0.03824611607684019
g,g1,c,c10,0.027952182682238612
g,g1,c,c11,0.0554853764742558
g,g1,c,c12,0.01520696069083899
g,g1,c,c2,0.08150980749551227
g,g1,c,c3,0.06569389786637213
g,g1,c,c4,0.046302659093878214
g,g1,c,c5,0.07264724108632786
g,g1,c,c6,0.07335025067328298
g,g1,c,c7,0.12229878125315678
g,g1,c,c8,0.0952169112724212
g,g1,c,c9,0.055341770029625516
g,g1,d,d1,0.13629745346645095
g,g1,d,d2,0.2908736604693887
g,g1,d,d3,0.3220808407589109
g,g1,e,e1,0.19311260303163297
g,g1,e,e2,0.336835618124095
g,g1,e,e3,0.1631042966143489
g,g1,e,e4,0.04291737529392368
g,g1,e,e5,0.01328206163074997
g,g1,f,f1,0.6576381243088062
g,g1,f,f2,0.09161383038594434
g,g2,a,a1,0.12089478267284456
g,g2,a,a2,0.1298532626324049
g,g2,a,a3,0.0
g,g2,b,b1,0.025020291677802658
g,g2,b,b2,0.05305817500762285
g,g2,b,b3,0.07442839839501449
g,g2,b,b4,0.09824118022480946
g,g2,c,c1,0.0033938774163821263
g,g2,c,c10,0.020590387528496946
g,g2,c,c11,0.029975553871762674
g,g2,c,c12,0.013310914997288594
g,g2,c,c2,0.030020600055214508
g,g2,c,c3,0.01831883374944955
g,g2,c,c4,0.027156193124145297
g,g2,c,c5,0.009823601257211143
g,g2,c,c6,0.020752623776904677
g,g2,c,c8,0.04209694090455567
g,g2,c,c9,0.030058160915925922
g,g2,d,d1,0.043307488391155766
g,g2,d,d2,0.08479744712129268
g,g2,d,d3,0.12264310979280099
g,g2,e,e1,0.05437190025095104
g,g2,e,e2,0.11926893663939808
g,g2,e,e3,0.05726021440186776
g,g2,e,e5,0.003567082427806203
g,g2,f,f1,0.23940381526921586
g,g2,f,f2,0.011344230036033586
